Word,Count
the,340
and,324
to,189
his,183
she,162
her,153
in,143
a,140
he,133
of,122
with,118
that,108
is,89
not,79
but,78
i,76
my,75
for,72
as,71
thou,69
it,69
so,68
love,62
be,60
him,59
on,56
thy,55
this,54
like,52
by,50
doth,48
now,47
all,43
thee,41
their,41
no,41
or,40
they,40
what,36
me,36
from,34
shall,34
eyes,33
at,32
more,31
are,31
will,31
if,30
being,30
heart,29
one,28
which,28
hath,27
them,27
then,27
when,27
would,26
yet,25
lips,25
was,25
did,25
o,24
whose,24
where,23
were,23
who,22
fair,22
have,22
never,21
beauty,21
upon,21
face,20
kiss,20
night,20
eye,20
you,20
had,19
sweet,19
do,19
still,19
make,19
should,19
how,18
quoth,18
fear,17
sun,16
adonis,16
tears,16
again,16
tis,16
mine,16
boar,16
even,15
each,15
light,15
death,15
such,14
fire,14
there,14
may,14
dead,14
poor,14
red,13
full,13
loves,13
say,13
than,12
an,12
up,12
till,12
hand,12
art,12
nor,12
desire,11
look,11
through,11
thine,11
well,11
some,11
know,10
here,10
good,10
other,10
though,10
cheeks,10
gone,10
can,10
let,10
foul,10
wind,10
your,10
blood,10
unto,9
white,9
proud,9
thousand,9
long,9
day,9
boy,9
cheek,9
why,9
every,9
sight,9
these,9
see,9
two,9
breath,9
forth,9
hard,9
ears,9
breast,9
sorrow,9
leave,8
makes,8
thus,8
made,8
world,8
life,8
head,8
ill,8
pale,8
horse,8
tender,8
hot,8
shame,8
arms,8
ear,8
best,8
soft,8
way,8
must,8
since,8
dost,8
seen,8
earth,8
dark,8
gentle,8
lo,8
high,8
before,8
looks,8
once,8
much,8
woe,8
whereat,8
venus,7
flower,7
wilt,7
fresh,7
twenty,7
dry,7
lies,7
rain,7
cannot,7
another,7
cry,7
own,7
having,7
lie,7
himself,7
shadow,7
done,7
am,7
tongue,7
away,7
back,7
weary,7
grief,7
shalt,6
set,6
seem,6
lend,6
under,6
disdain,6
down,6
sighs,6
delight,6
give,6
sees,6
neck,6
those,6
ground,6
within,6
themselves,6
cold,6
bid,6
heavy,6
thyself,6
smell,6
things,6
queen,6
fie,6
too,6
words,6
die,6
sometime,6
out,6
wound,6
faint,6
part,6
kill,6
fall,6
most,6
FALSE,6
hears,6
both,6
last,5
morn,5
nature,5
saith,5
kisses,5
short,5
sport,5
passion,5
lust,5
flowers,5
take,5
pay,5
quickly,5
heat,5
pity,5
wood,5
whereon,5
we,5
spring,5
time,5
little,5
voice,5
sky,5
shine,5
young,5
mind,5
worse,5
slain,5
livd,5
could,5
mad,5
breaks,5
nothing,5
off,5
takes,5
silver,5
mortal,5
thought,5
therefore,5
lost,5
hast,5
hear,5
birds,5
late,5
TRUE,5
says,5
bids,5
hounds,5
after,5
chase,4
myself,4
began,4
man,4
doves,4
herself,4
steed,4
rein,4
making,4
hour,4
earths,4
over,4
begins,4
burning,4
sharp,4
haste,4
prey,4
heavenly,4
air,4
pure,4
bosom,4
turn,4
burn,4
been,4
comes,4
crest,4
