Word,Count
heart,29
light,15
red,13
sun,11
blood,10
white,9
pale,8
hot,8
silver,5
bright,4
golden,3
gold,3
crimson,2
smile,2
hotly,2
vapours,2
cool,2
shines,2
burneth,2
stone,2
ivory,2
smiles,2
teeth,2
snow,2
bleed,2
black,2
king,2
bloody,2
purple,2
lead,2
purplecolourd,1
rosecheekd,1
roses,1
blushd,1
leaden,1
coals,1
glowing,1
frosty,1
ashypale,1
redrose,1
blueveind,1
violets,1
grey,1
primrose,1
fiery,1
blaze,1
melting,1
alabaster,1
whiter,1
rubycolourd,1
berry,1
blue,1
moon,1
waxred,1
plum,1
coalblack,1
coral,1
blush,1
frozen,1
palefacd,1
blushing,1
grapes,1
dian,1
cynthia,1
heating,1
thawd,1
rust,1
blackfacd,1
winter,1
summer,1
shining,1
bloodless,1
coldpale,1
frothy,1
milk,1
bleeding,1
violet,1
ebon,1
kings,1
salt,1
lamb,1
mulberries,1
cherries,1
congealed,1
melted,1
vapour,1
whiteness,1
